date,MKTX
2015-05-11,86.09
2015-05-12,86.03
2015-05-13,86.07
2015-05-14,87.27
2015-05-15,87.53
2015-05-18,89.1
2015-05-19,88.68
2015-05-20,88.43
2015-05-21,87.98
2015-05-22,87.62
2015-05-26,86.6
2015-05-27,89.26
2015-05-28,89.02
2015-05-29,88.39
2015-06-01,89.01
2015-06-02,88.57
2015-06-03,87.86
2015-06-04,86.5
2015-06-05,86.65
2015-06-08,86.3
2015-06-09,85.39
2015-06-10,86.56
2015-06-11,86.68
2015-06-12,86.28
2015-06-15,86.97
2015-06-16,87.28
2015-06-17,88.69
2015-06-18,89.27
2015-06-19,91.5
2015-06-22,95.2
2015-06-23,96.2
2015-06-24,97.25
2015-06-25,97.4
2015-06-26,96.86
2015-06-29,92.32
2015-06-30,92.77
2015-07-01,94.82
2015-07-02,94.51
2015-07-06,96.9
2015-07-07,97.47
2015-07-08,97.78
2015-07-09,99.57
2015-07-10,103.38
2015-07-13,101.74
2015-07-14,100.91
2015-07-15,99.87
2015-07-16,101.48
2015-07-17,101.27
2015-07-20,100.93
2015-07-21,100.27
2015-07-22,97.89
2015-07-23,97.95
2015-07-24,96.5
2015-07-27,97.97
2015-07-28,97.66
2015-07-29,98.17
2015-07-30,97.1
2015-07-31,97.78
2015-08-03,98.046
2015-08-04,96.96
2015-08-05,99.18
2015-08-06,97.93
2015-08-07,97.57
2015-08-10,97.41
2015-08-11,96.16
2015-08-12,95.42
2015-08-13,94.62
2015-08-14,96.4
2015-08-17,97.53
2015-08-18,97.59
2015-08-19,98.07
2015-08-20,96.48
2015-08-21,93.96
2015-08-24,89.61
2015-08-25,88.92
2015-08-26,90.96
2015-08-27,91.83
2015-08-28,91.45
2015-08-31,90.49
2015-09-01,91.7
2015-09-02,96.64
2015-09-03,96.2
2015-09-04,94.84
2015-09-08,96.5
2015-09-09,96.62
2015-09-10,97.14
2015-09-11,97.35
2015-09-14,96.96
2015-09-15,97.3125
2015-09-16,97.5
2015-09-17,96.4
2015-09-18,96.39
2015-09-21,97.04
2015-09-22,95.86
2015-09-23,98.98
2015-09-24,97.12
2015-09-25,99.48
2015-09-28,94.72
2015-09-29,90.83
2015-09-30,92.89
2015-10-01,94.0
2015-10-02,95.01
2015-10-05,96.95
2015-10-06,93.32
2015-10-07,94.84
2015-10-08,95.5
2015-10-09,94.81
2015-10-12,96.95
2015-10-13,94.56
2015-10-14,94.25
2015-10-15,96.5
